belief_in_model_cb,belief_in_model_cf,belief_in_interaction_strength_views_global,belief_in_interaction_strength_likes_global,belief_in_interaction_strength_views,belief_in_interaction_strength_likes,recall_at_5_hybrid,recall_at_10_hybrid,recall_at_5_hybrid_or_fuzzy_hybrid,recall_at_10_hybrid_or_fuzzy_hybrid,recall_at_5_cf,recall_at_10_cf,recall_at_5_cb,recall_at_10_cb,recall_at_5_pop,recall_at_10_pop

5,2,0,4,9,4,0.19090909090909092,0.3333333333333333,0.17575757575757575,0.3151515151515151,0.40606060606060607,0.4303030303030303,0.19696969696969696,0.22727272727272727,0.41818181818181815,0.4303030303030303
0,5,5,7,9,1,0.08484848484848485,0.3,0.17272727272727273,0.3090909090909091,0.40606060606060607,0.4303030303030303,0.19393939393939394,0.22727272727272727,0.41818181818181815,0.4303030303030303
3,6,1,6,9,7,0.12727272727272726,0.3212121212121212,0.17575757575757575,0.3090909090909091,0.4090909090909091,0.4303030303030303,0.19696969696969696,0.22727272727272727,0.41818181818181815,0.4303030303030303
7,0,2,5,4,5,0.1393939393939394,0.3212121212121212,0.1787878787878788,0.31212121212121213,0.4090909090909091,0.4303030303030303,0.19696969696969696,0.22727272727272727,0.4121212121212121,0.4303030303030303
7,5,2,1,9,4,0.1303030303030303,0.3242424242424242,0.17575757575757575,0.30606060606060603,0.40606060606060607,0.4303030303030303,0.19696969696969696,0.22727272727272727,0.41818181818181815,0.4303030303030303
8,3,7,1,0,2,0.12121212121212122,0.3181818181818182,0.17272727272727273,0.3090909090909091,0.3878787878787879,0.4303030303030303,0.1303030303030303,0.13636363636363635,0.39090909090909093,0.4303030303030303
8,9,3,9,3,4,0.12424242424242424,0.31212121212121213,0.1787878787878788,0.31212121212121213,0.40606060606060607,0.4303030303030303,0.19696969696969696,0.22727272727272727,0.4303030303030303,0.4303030303030303
9,4,9,8,3,9,0.10909090909090909,0.30303030303030304,0.17272727272727273,0.3090909090909091,0.40606060606060607,0.4303030303030303,0.19696969696969696,0.22727272727272727,0.4303030303030303,0.4303030303030303
3,5,2,2,9,5,0.12727272727272726,0.3181818181818182,0.17575757575757575,0.31212121212121213,0.4090909090909091,0.4303030303030303,0.19696969696969696,0.22727272727272727,0.41515151515151516,0.4303030303030303
7,7,5,1,6,9,0.1484848484848485,0.32727272727272727,0.17575757575757575,0.31212121212121213,0.4090909090909091,0.4303030303030303,0.19696969696969696,0.22727272727272727,0.4090909090909091,0.4303030303030303
9,7,8,5,1,8,0.12424242424242424,0.3181818181818182,0.17272727272727273,0.30606060606060603,0.4090909090909091,0.4303030303030303,0.19696969696969696,0.22727272727272727,0.4212121212121212,0.4303030303030303
