belief_in_model_cb,belief_in_model_cf,belief_in_interaction_strength_views_global,belief_in_interaction_strength_likes_global,belief_in_liked,belief_in_viewed,recall_at_5_hybrid_or_fuzzy_hybrid,recall_at_10_hybrid_or_fuzzy_hybrid,recall_at_5_cf,recall_at_10_cf,recall_at_5_cb,recall_at_10_cb,recall_at_5_pop,recall_at_10_pop
2,6,5,7,8,5,0.4666666666666667,0.5424242424242425,0.4121212121212121,0.4303030303030303,0.2,0.23030303030303031,0.8242424242424242,0.996969696969697
0,5,5,7,9,1,0.43636363636363634,0.5424242424242425,0.4121212121212121,0.4303030303030303,0.20606060606060606,0.23333333333333334,0.8242424242424242,0.9939393939393939
3,6,1,6,9,7,0.43333333333333335,0.5303030303030303,0.40606060606060607,0.4303030303030303,0.20303030303030303,0.23333333333333334,0.8181818181818182,0.9939393939393939
7,0,2,5,4,5,0.4303030303030303,0.5363636363636364,0.4090909090909091,0.4303030303030303,0.20303030303030303,0.23333333333333334,0.8090909090909091,0.996969696969697
7,5,2,1,9,4,0.45151515151515154,0.5454545454545454,0.4121212121212121,0.4303030303030303,0.20606060606060606,0.23333333333333334,0.8303030303030303,0.990909090909091
8,3,7,1,0,2,0.3424242424242424,0.48787878787878786,0.37272727272727274,0.4303030303030303,0.1393939393939394,0.17272727272727273,0.8212121212121212,0.9878787878787879
8,9,3,9,3,4,0.4393939393939394,0.5424242424242425,0.40606060606060607,0.4303030303030303,0.20606060606060606,0.23636363636363636,0.8181818181818182,0.9939393939393939
9,4,9,8,3,9,0.43636363636363634,0.5272727272727272,0.40606060606060607,0.4303030303030303,0.20303030303030303,0.23333333333333334,0.8090909090909091,0.9939393939393939
3,5,2,2,9,5,0.42424242424242425,0.5333333333333333,0.40606060606060607,0.4303030303030303,0.20303030303030303,0.23333333333333334,0.8151515151515152,0.990909090909091
7,7,5,1,6,9,0.4393939393939394,0.5333333333333333,0.40606060606060607,0.4303030303030303,0.2,0.23030303030303031,0.8242424242424242,0.996969696969697
9,7,8,5,1,8,0.44242424242424244,0.5393939393939394,0.4090909090909091,0.4303030303030303,0.20303030303030303,0.23333333333333334,0.8333333333333334,0.9939393939393939
2,4,6,7,4,3,0.45151515151515154,0.5484848484848485,0.40606060606060607,0.4303030303030303,0.20606060606060606,0.23333333333333334,0.8212121212121212,0.996969696969697
1,3,6,4,8,0,0.4303030303030303,0.5303030303030303,0.41515151515151516,0.4303030303030303,0.18787878787878787,0.20909090909090908,0.8272727272727273,0.990909090909091
3,5,4,2,2,7,0.4636363636363636,0.5454545454545454,0.4090909090909091,0.4303030303030303,0.20303030303030303,0.23333333333333334,0.8242424242424242,0.9939393939393939
9,4,6,0,4,7,0.4393939393939394,0.5393939393939394,0.4090909090909091,0.4303030303030303,0.20303030303030303,0.23636363636363636,0.8303030303030303,0.996969696969697
1,9,4,0,4,0,0.4484848484848485,0.5333333333333333,0.4121212121212121,0.4303030303030303,0.18787878787878787,0.20909090909090908,0.8393939393939394,0.9939393939393939
5,6,2,9,2,1,0.4393939393939394,0.5393939393939394,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.23333333333333334,0.8212121212121212,0.990909090909091
8,0,8,3,2,4,0.4212121212121212,0.5454545454545454,0.40606060606060607,0.4303030303030303,0.20303030303030303,0.23636363636363636,0.8242424242424242,0.9939393939393939
6,8,1,6,2,8,0.44242424242424244,0.5303030303030303,0.403030303030303,0.4303030303030303,0.20303030303030303,0.23333333333333334,0.8212121212121212,0.9939393939393939
9,4,8,1,2,8,0.4484848484848485,0.5272727272727272,0.403030303030303,0.4303030303030303,0.20303030303030303,0.23333333333333334,0.8212121212121212,0.9939393939393939
4,9,1,8,2,3,0.44242424242424244,0.5424242424242425,0.40606060606060607,0.4303030303030303,0.20606060606060606,0.23636363636363636,0.8303030303030303,0.9939393939393939
7,0,3,1,9,7,0.44242424242424244,0.5393939393939394,0.4090909090909091,0.4303030303030303,0.2,0.23030303030303031,0.8212121212121212,0.996969696969697
0,0,0,7,4,5,0.44242424242424244,0.5303030303030303,0.40606060606060607,0.4303030303030303,0.20606060606060606,0.23333333333333334,0.8242424242424242,0.996969696969697
2,3,4,2,8,9,0.41515151515151516,0.5303030303030303,0.40606060606060607,0.4303030303030303,0.2,0.23030303030303031,0.8242424242424242,0.996969696969697
1,9,5,6,0,5,0.38181818181818183,0.503030303030303,0.38484848484848483,0.4303030303030303,0.1393939393939394,0.17272727272727273,0.8181818181818182,0.9878787878787879
4,1,1,9,3,5,0.43636363636363634,0.5393939393939394,0.403030303030303,0.4303030303030303,0.2,0.23333333333333334,0.8212121212121212,0.996969696969697
7,8,3,5,5,5,0.45454545454545453,0.5363636363636364,0.40606060606060607,0.4303030303030303,0.20606060606060606,0.23333333333333334,0.8303030303030303,0.996969696969697
9,6,6,9,5,1,0.4575757575757576,0.5393939393939394,0.40606060606060607,0.4303030303030303,0.21212121212121213,0.23333333333333334,0.8303030303030303,0.996969696969697
1,8,9,8,4,6,0.43636363636363634,0.5363636363636364,0.40606060606060607,0.4303030303030303,0.2,0.23333333333333334,0.8242424242424242,0.996969696969697
9,2,7,4,0,1,0.4,0.503030303030303,0.3787878787878788,0.42727272727272725,0.1393939393939394,0.17272727272727273,0.8212121212121212,0.9878787878787879
2,7,3,0,2,5,0.4303030303030303,0.5424242424242425,0.4090909090909091,0.4303030303030303,0.20303030303030303,0.23333333333333334,0.8242424242424242,0.9939393939393939
4,1,2,7,8,5,0.44545454545454544,0.5393939393939394,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.23333333333333334,0.8303030303030303,0.996969696969697
1,9,3,8,7,4,0.46060606060606063,0.5454545454545454,0.403030303030303,0.4303030303030303,0.2,0.23333333333333334,0.8333333333333334,0.996969696969697
5,9,2,0,8,2,0.46060606060606063,0.5424242424242425,0.40606060606060607,0.4303030303030303,0.20303030303030303,0.23030303030303031,0.8303030303030303,0.996969696969697
0,9,3,1,1,6,0.4303030303030303,0.5212121212121212,0.40606060606060607,0.4303030303030303,0.20303030303030303,0.23333333333333334,0.8212121212121212,0.9939393939393939
1,3,7,5,3,8,0.42727272727272725,0.5303030303030303,0.403030303030303,0.4303030303030303,0.20303030303030303,0.23333333333333334,0.8212121212121212,0.996969696969697
9,7,9,3,9,7,0.4484848484848485,0.5363636363636364,0.4121212121212121,0.4303030303030303,0.2,0.23030303030303031,0.8212121212121212,0.996969696969697
5,5,5,1,0,8,0.38181818181818183,0.49696969696969695,0.3787878787878788,0.4303030303030303,0.1393939393939394,0.17272727272727273,0.8181818181818182,0.9878787878787879
3,6,6,0,3,1,0.44242424242424244,0.5393939393939394,0.4121212121212121,0.4303030303030303,0.20909090909090908,0.23030303030303031,0.8303030303030303,0.996969696969697
7,1,5,5,8,8,0.42424242424242425,0.5363636363636364,0.40606060606060607,0.4303030303030303,0.2,0.23030303030303031,0.8242424242424242,0.996969696969697
5,4,7,3,2,3,0.44242424242424244,0.5393939393939394,0.40606060606060607,0.4303030303030303,0.20606060606060606,0.23636363636363636,0.8303030303030303,0.9939393939393939
8,2,5,3,1,2,0.43636363636363634,0.5424242424242425,0.40606060606060607,0.4303030303030303,0.20303030303030303,0.23636363636363636,0.8272727272727273,0.9939393939393939
9,9,3,5,4,4,0.45454545454545453,0.5424242424242425,0.4090909090909091,0.4303030303030303,0.20303030303030303,0.23636363636363636,0.8333333333333334,0.996969696969697
9,6,0,7,8,0,0.44242424242424244,0.5393939393939394,0.40606060606060607,0.4303030303030303,0.18787878787878787,0.20909090909090908,0.8424242424242424,0.9939393939393939
0,0,5,5,0,1,0.396969696969697,0.5151515151515151,0.3939393939393939,0.4303030303030303,0.1393939393939394,0.17272727272727273,0.8212121212121212,0.9878787878787879
5,0,2,2,7,9,0.44242424242424244,0.5363636363636364,0.403030303030303,0.4303030303030303,0.2,0.23030303030303031,0.8242424242424242,0.996969696969697
8,1,8,3,7,3,0.44242424242424244,0.5424242424242425,0.40606060606060607,0.4303030303030303,0.2,0.23030303030303031,0.8303030303030303,0.996969696969697
9,9,9,4,8,2,0.4696969696969697,0.5424242424242425,0.40606060606060607,0.4303030303030303,0.20303030303030303,0.23030303030303031,0.8303030303030303,0.996969696969697
